sensor_id,timestamp,track_section,gps_lat,gps_lon,acc_x_ms2,acc_y_ms2,acc_z_ms2,gyro_roll,gyro_pitch,gyro_yaw,vibration_magnitude,vibration_spike_pct,is_anomaly,aknn_distance_to_baseline,anomaly_confidence,flag_dispatched_to_pillar_d
DEV-91735,2026-06-10 16:05:12.000,Kolkata-Asansol,23.68°N,86.98°E,0.0163,-0.1775,9.8865,0.026,0.0237,0.0112,0.194,61.7,False,0.0446,0.0,False
DEV-13251,2026-06-10 22:57:12.000,Chennai-Vellore,12.91°N,79.13°E,0.2143,0.0508,9.7496,0.0056,0.0102,0.0048,0.2284,90.3,False,0.0543,0.0,False
DEV-84743,2026-06-12 15:58:28.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.1319,-0.1364,9.9815,0.0254,-0.0325,-0.0066,0.2558,113.2,False,0.0513,0.0,False
DEV-85963,2026-06-12 12:39:14.000,Chennai-Vellore,12.91°N,79.13°E,0.2183,0.0206,9.6092,-0.0102,-0.0021,0.0101,0.2973,147.8,False,0.0467,0.0,False
DEV-79193,2026-06-12 16:45:29.000,Kolkata-Asansol,23.68°N,86.98°E,-0.0371,0.0211,9.8212,-0.0033,-0.0191,0.006,0.0441,0,False,0.039,0.0,False
DEV-63382,2026-06-11 00:43:37.000,Vadodara-Surat,22.30°N,73.10°E,0.0739,0.0426,9.848,0.0121,0.0145,0.0069,0.0934,0,False,0.0607,0.0,False
DEV-43807,2026-06-10 10:17:23.000,Kolkata-Asansol,23.68°N,86.98°E,0.099,0.1724,9.7992,0.0087,0.0264,0.0247,0.1991,65.9,False,0.0425,0.0,False
DEV-45296,2026-06-12 18:16:27.000,Vadodara-Surat,22.30°N,73.10°E,0.1581,2.018,9.901,0.4751,-0.8546,-0.0204,2.0262,1588.5,True,0.4955,0.947,True
DEV-82706,2026-06-11 17:15:22.000,Vadodara-Surat,22.30°N,73.10°E,0.0319,0.2489,9.7853,0.0511,-0.0068,-0.0101,0.2521,110.1,False,0.0591,0.0,False
DEV-32044,2026-06-10 15:08:37.000,Mumbai-Pune,18.52°N,73.86°E,-0.2737,0.0773,9.6702,-0.0001,0.0156,0.0146,0.3169,164.1,False,0.0669,0.0,False
DEV-31939,2026-06-11 21:08:31.000,Chennai-Vellore,12.91°N,79.13°E,-0.0412,-0.0119,9.8882,-0.0471,-0.0211,-0.015,0.0892,0,False,0.02,0.0,False
DEV-46872,2026-06-13 01:58:33.000,Chennai-Vellore,12.91°N,79.13°E,-0.0013,0.1811,9.9638,-0.0002,0.0089,0.028,0.2376,98.0,False,0.0227,0.0,False
DEV-66618,2026-06-12 11:49:32.000,Kolkata-Asansol,23.68°N,86.98°E,-0.0471,0.1143,9.8414,0.0077,-0.0152,-0.0042,0.1275,6.2,False,0.0327,0.0,False
DEV-52157,2026-06-11 18:45:35.000,Mumbai-Pune,18.52°N,73.86°E,0.2006,-0.0573,9.9345,-0.004,-0.0042,0.0219,0.2429,102.4,False,0.0405,0.0,False
DEV-32745,2026-06-11 15:28:53.000,Kolkata-Asansol,23.68°N,86.98°E,0.0689,-0.0331,9.9068,-0.0129,0.0028,0.0001,0.1233,2.8,False,0.0448,0.0,False
DEV-98029,2026-06-12 23:11:29.000,Jaipur-Ajmer,26.45°N,74.64°E,0.0146,-0.1487,9.8369,-0.0282,0.0044,0.0018,0.1518,26.5,False,0.0467,0.0,False
DEV-26353,2026-06-10 14:59:12.000,Mumbai-Pune,18.52°N,73.86°E,-0.1451,0.1141,9.6942,0.025,0.0218,-0.0399,0.2179,81.6,False,0.0478,0.0,False
DEV-90405,2026-06-13 02:10:31.000,Delhi-Agra,27.18°N,78.01°E,0.0053,0.0236,9.7749,0.0442,-0.0054,0.0051,0.0426,0,False,0.0575,0.0,False
DEV-10935,2026-06-12 16:52:01.000,Jaipur-Ajmer,26.45°N,74.64°E,0.3893,-0.0391,9.9007,0.0053,-0.0078,-0.0196,0.4016,234.7,False,0.0318,0.0,False
DEV-99441,2026-06-12 17:47:32.000,Jaipur-Ajmer,26.45°N,74.64°E,0.1332,-0.1136,9.7087,0.001,-0.0139,-0.0163,0.2023,68.6,False,0.0562,0.0,False
DEV-45956,2026-06-10 18:46:53.000,Vadodara-Surat,22.30°N,73.10°E,-0.002,-0.0626,9.9538,-0.0159,0.0237,-0.0165,0.1568,30.7,False,0.0315,0.0,False
DEV-94012,2026-06-12 07:22:08.000,Vadodara-Surat,22.30°N,73.10°E,-0.0649,-0.1387,9.8081,0.0256,-0.0452,0.0101,0.1531,27.6,False,0.0604,0.0,False
DEV-77797,2026-06-12 05:20:01.000,Vadodara-Surat,22.30°N,73.10°E,-0.1281,0.2075,9.776,0.0056,-0.0232,-0.002,0.2462,105.2,False,0.0655,0.0,False
DEV-84949,2026-06-12 22:21:23.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.0273,0.1233,9.8023,0.0006,0.0028,0.0058,0.1265,5.4,False,0.0685,0.0,False
DEV-22678,2026-06-12 11:41:56.000,Delhi-Agra,27.18°N,78.01°E,-0.0524,0.0217,9.81,0.012,-0.0105,0.0195,0.0567,0,False,0.0217,0.0,False
DEV-17134,2026-06-11 13:27:12.000,Vadodara-Surat,22.30°N,73.10°E,-0.0949,-0.0772,9.8099,0.0096,0.0013,0.0137,0.1223,1.9,False,0.0693,0.0,False
DEV-17954,2026-06-11 19:50:29.000,Delhi-Agra,27.18°N,78.01°E,0.0336,-0.1647,9.8199,-0.0279,-0.0074,-0.003,0.1684,40.3,False,0.075,0.0,False
DEV-66602,2026-06-11 09:28:51.000,Mumbai-Pune,18.52°N,73.86°E,-0.0913,-0.1965,9.9433,0.0137,0.0259,0.007,0.2544,112.0,False,0.0239,0.0,False
DEV-96471,2026-06-12 07:20:19.000,Vadodara-Surat,22.30°N,73.10°E,-0.0409,0.113,9.9201,0.0189,0.0029,0.0202,0.163,35.8,False,0.0574,0.0,False
DEV-77792,2026-06-11 15:00:59.000,Chennai-Vellore,12.91°N,79.13°E,-0.1878,0.0729,9.9033,0.0172,-0.0021,-0.0031,0.222,85.0,False,0.0397,0.0,False
DEV-43591,2026-06-10 20:00:57.000,Vadodara-Surat,22.30°N,73.10°E,-0.0464,-0.0253,9.8229,-0.0127,-0.0255,-0.0095,0.0544,0,False,0.0413,0.0,False
DEV-95420,2026-06-11 17:03:15.000,Jaipur-Ajmer,26.45°N,74.64°E,0.032,0.0601,9.8502,0.0029,-0.0207,-0.0091,0.0791,0,False,0.0653,0.0,False
DEV-86865,2026-06-11 04:39:36.000,Kolkata-Asansol,23.68°N,86.98°E,0.0135,-0.0669,9.7836,0.0171,-0.0017,0.0014,0.0732,0,False,0.0595,0.0,False
DEV-36379,2026-06-10 16:31:46.000,Vadodara-Surat,22.30°N,73.10°E,0.0809,-0.1394,9.8792,0.0062,0.0283,-0.0032,0.1754,46.2,False,0.0671,0.0,False
DEV-90753,2026-06-11 06:52:15.000,Delhi-Agra,27.18°N,78.01°E,-0.1445,-0.3197,9.7519,-0.0105,-0.0453,-0.0182,0.3556,196.3,False,0.038,0.0,False
DEV-71149,2026-06-11 05:55:45.000,Delhi-Agra,27.18°N,78.01°E,0.2347,-0.1851,9.6303,0.0011,-0.0198,-0.0177,0.3488,190.7,False,0.0574,0.0,False
DEV-57555,2026-06-10 23:24:17.000,Chennai-Vellore,12.91°N,79.13°E,0.1287,-0.0316,9.8066,-0.0135,0.0243,0.0416,0.1326,10.5,False,0.0206,0.0,False
DEV-36099,2026-06-11 08:03:37.000,Vadodara-Surat,22.30°N,73.10°E,0.1011,0.1009,9.6901,-0.0324,-0.0347,0.0315,0.1865,55.4,False,0.0319,0.0,False
DEV-23263,2026-06-10 18:40:51.000,Delhi-Agra,27.18°N,78.01°E,-0.0266,-0.1073,9.7627,-0.0042,0.0381,0.0039,0.1202,0.2,False,0.0213,0.0,False
DEV-96626,2026-06-12 07:19:50.000,Delhi-Agra,27.18°N,78.01°E,0.0169,-0.0566,9.8728,-0.0067,0.0023,0.0273,0.0862,0,False,0.0303,0.0,False
DEV-59570,2026-06-11 20:22:10.000,Kolkata-Asansol,23.68°N,86.98°E,0.0398,-0.0305,9.9219,0.0358,0.0036,-0.0094,0.1226,2.2,False,0.0617,0.0,False
DEV-29472,2026-06-11 05:09:09.000,Kolkata-Asansol,23.68°N,86.98°E,-0.2217,-0.2041,9.8187,-0.0265,0.0102,-0.0099,0.3015,151.3,False,0.0397,0.0,False
DEV-71691,2026-06-10 09:52:41.000,Jaipur-Ajmer,26.45°N,74.64°E,0.2043,-0.1679,9.9734,-0.0082,0.0021,0.006,0.3109,159.1,False,0.0675,0.0,False
DEV-59005,2026-06-12 02:46:28.000,Vadodara-Surat,22.30°N,73.10°E,-0.2368,0.1605,9.8106,-0.0194,-0.0125,-0.0011,0.2861,138.4,False,0.0515,0.0,False
DEV-36607,2026-06-11 17:11:33.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.1952,0.026,9.7185,-0.027,-0.008,-0.0083,0.2171,80.9,False,0.0471,0.0,False
DEV-21013,2026-06-10 23:04:02.000,Chennai-Vellore,12.91°N,79.13°E,-0.13,0.053,9.8947,0.0321,-0.0002,0.0063,0.164,36.7,False,0.0377,0.0,False
DEV-75213,2026-06-11 19:46:45.000,Mumbai-Pune,18.52°N,73.86°E,0.1738,0.0368,9.7647,0.0188,-0.0174,0.0059,0.1833,52.8,False,0.039,0.0,False
DEV-94365,2026-06-11 09:50:36.000,Vadodara-Surat,22.30°N,73.10°E,0.022,0.1719,9.789,0.0064,0.0132,-0.015,0.1746,45.5,False,0.0247,0.0,False
DEV-99592,2026-06-11 02:07:43.000,Delhi-Agra,27.18°N,78.01°E,0.0378,0.0145,9.8263,0.0126,-0.0081,0.0112,0.0436,0,False,0.0707,0.0,False
DEV-46942,2026-06-10 19:52:55.000,Jaipur-Ajmer,26.45°N,74.64°E,0.1909,0.1797,9.7889,-0.0245,-0.0024,0.0257,0.263,119.2,False,0.0693,0.0,False
DEV-62101,2026-06-12 15:01:32.000,Chennai-Vellore,12.91°N,79.13°E,0.1102,-0.1818,9.9262,0.0022,0.0491,-0.0025,0.2423,101.9,False,0.0337,0.0,False
DEV-21255,2026-06-12 10:40:18.000,Jaipur-Ajmer,26.45°N,74.64°E,0.0204,0.1588,9.7249,-0.0073,0.0072,-0.0126,0.1813,51.1,False,0.0388,0.0,False
DEV-26822,2026-06-10 19:40:42.000,Chennai-Vellore,12.91°N,79.13°E,-0.0331,-0.0779,9.7127,0.0079,-0.0185,0.0139,0.129,7.5,False,0.0383,0.0,False
DEV-80464,2026-06-12 11:43:31.000,Vadodara-Surat,22.30°N,73.10°E,-0.0761,-0.0944,9.8229,0.0208,0.0006,-0.0254,0.1219,1.6,False,0.038,0.0,False
DEV-89670,2026-06-12 00:44:26.000,Vadodara-Surat,22.30°N,73.10°E,0.0804,0.0132,10.0644,-0.0092,-0.0326,-0.0112,0.2671,122.6,False,0.0544,0.0,False
DEV-49930,2026-06-11 10:27:48.000,Chennai-Vellore,12.91°N,79.13°E,-0.1434,0.0941,9.8245,0.0089,-0.0199,-0.007,0.1721,43.4,False,0.0256,0.0,False
DEV-47200,2026-06-10 13:35:45.000,Jaipur-Ajmer,26.45°N,74.64°E,0.2246,0.0367,9.7587,0.0009,0.0465,0.0163,0.2333,94.4,False,0.0324,0.0,False
DEV-24515,2026-06-11 03:11:51.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.1381,0.0323,9.881,0.0012,0.0168,-0.008,0.1586,32.2,False,0.0277,0.0,False
DEV-97135,2026-06-11 12:28:04.000,Chennai-Vellore,12.91°N,79.13°E,-0.2487,0.1667,9.8537,0.0389,-0.0135,0.0258,0.3026,152.2,False,0.0485,0.0,False
DEV-18384,2026-06-12 01:57:38.000,Kolkata-Asansol,23.68°N,86.98°E,-0.1511,-0.0741,9.7844,-0.0147,0.0111,0.0004,0.1702,41.8,False,0.0695,0.0,False
DEV-69809,2026-06-12 02:02:37.000,Delhi-Agra,27.18°N,78.01°E,0.2607,-0.1318,9.7084,0.0065,-0.0013,-0.0123,0.3093,157.8,False,0.0408,0.0,False
DEV-66633,2026-06-12 19:21:32.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.2165,0.1413,9.8586,-0.0168,0.0119,0.0188,0.2631,119.2,False,0.0475,0.0,False
DEV-92324,2026-06-13 00:19:29.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.1363,-0.0502,9.8658,-0.005,0.011,-0.0087,0.1556,29.7,False,0.0523,0.0,False
DEV-20031,2026-06-12 06:32:40.000,Vadodara-Surat,22.30°N,73.10°E,-0.0181,-0.0827,9.5603,0.0026,-0.0619,-0.016,0.2637,119.7,False,0.0653,0.0,False
DEV-70542,2026-06-11 18:43:44.000,Mumbai-Pune,18.52°N,73.86°E,0.0521,0.0704,9.8279,0.0013,-0.0193,-0.0172,0.0894,0,False,0.0429,0.0,False
DEV-73538,2026-06-12 12:19:08.000,Chennai-Vellore,12.91°N,79.13°E,-0.0176,0.0107,9.9442,0.0295,-0.0155,0.0221,0.1358,13.2,False,0.0477,0.0,False
DEV-89559,2026-06-10 12:00:39.000,Kolkata-Asansol,23.68°N,86.98°E,-0.0365,-0.1254,9.7464,0.003,0.0202,0.0243,0.1453,21.1,False,0.026,0.0,False
DEV-38399,2026-06-11 03:25:08.000,Vadodara-Surat,22.30°N,73.10°E,-0.0467,0.0305,9.8203,-0.03,0.0107,0.0116,0.0567,0,False,0.0629,0.0,False
DEV-23473,2026-06-12 23:00:12.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.0439,0.0134,9.7455,-0.0182,-0.0153,-0.0188,0.0792,0,False,0.0434,0.0,False
DEV-21978,2026-06-11 04:27:05.000,Chennai-Vellore,12.91°N,79.13°E,3.0957,0.0756,10.0321,-0.9143,-0.1823,0.157,3.1046,2487.2,True,0.462,0.912,False
DEV-15768,2026-06-12 17:44:56.000,Delhi-Agra,27.18°N,78.01°E,0.3493,0.1171,9.9348,0.0217,-0.0165,-0.0206,0.389,224.2,False,0.0449,0.0,False
DEV-23878,2026-06-10 13:50:28.000,Mumbai-Pune,18.52°N,73.86°E,-0.1468,-0.1201,9.8835,-0.008,-0.0131,0.0048,0.2034,69.5,False,0.0414,0.0,False
DEV-58362,2026-06-10 18:38:33.000,Vadodara-Surat,22.30°N,73.10°E,-0.0602,0.109,9.7814,0.0019,0.0115,-0.0199,0.1278,6.5,False,0.0226,0.0,False
DEV-84606,2026-06-12 22:28:38.000,Delhi-Agra,27.18°N,78.01°E,0.0194,-0.1403,9.9361,-0.0019,0.0116,-0.0328,0.1896,58.0,False,0.0303,0.0,False
DEV-93277,2026-06-13 03:50:05.000,Vadodara-Surat,22.30°N,73.10°E,0.23,-0.0216,9.7162,-0.0482,-0.0062,-0.0126,0.2493,107.8,False,0.0657,0.0,False
DEV-40464,2026-06-12 08:04:16.000,Mumbai-Pune,18.52°N,73.86°E,-0.0281,-0.0388,9.9853,0.0049,-0.0227,0.0057,0.1817,51.4,False,0.0502,0.0,False
DEV-17854,2026-06-12 09:18:34.000,Vadodara-Surat,22.30°N,73.10°E,-0.238,-0.1707,9.7627,0.0305,0.0013,-0.0208,0.2967,147.2,False,0.0283,0.0,False
DEV-53082,2026-06-11 18:18:58.000,Mumbai-Pune,18.52°N,73.86°E,-0.1527,0.1211,9.8196,0.0321,0.0216,-0.0012,0.1951,62.6,False,0.0281,0.0,False
DEV-53420,2026-06-11 05:07:20.000,Jaipur-Ajmer,26.45°N,74.64°E,0.2575,0.0524,9.684,0.0187,0.0,-0.0108,0.2914,142.8,False,0.0406,0.0,False
DEV-78350,2026-06-10 20:59:13.000,Kolkata-Asansol,23.68°N,86.98°E,4.6699,-2.214,10.2514,-0.5855,0.1224,0.6,5.187,4222.5,True,0.6912,0.945,False
DEV-36787,2026-06-12 21:20:30.000,Chennai-Vellore,12.91°N,79.13°E,0.0753,0.1592,9.8441,0.0105,0.0225,0.011,0.1794,49.5,False,0.0342,0.0,False
DEV-68755,2026-06-10 11:41:30.000,Chennai-Vellore,12.91°N,79.13°E,-0.0904,0.1778,9.8116,0.0125,0.0001,0.0123,0.1995,66.3,False,0.0781,0.0,False
DEV-89874,2026-06-10 20:39:56.000,Mumbai-Pune,18.52°N,73.86°E,-0.3658,0.0348,9.7605,0.015,-0.0206,0.0029,0.3708,209.0,False,0.0641,0.0,False
DEV-88011,2026-06-12 13:21:54.000,Delhi-Agra,27.18°N,78.01°E,0.0081,-0.0231,9.6946,0.0266,0.0025,-0.0338,0.118,0,False,0.0522,0.0,False
DEV-71506,2026-06-11 22:15:26.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.0937,0.07,9.7887,0.0251,-0.0179,0.0016,0.1189,0,False,0.0317,0.0,False
DEV-58908,2026-06-13 00:42:38.000,Delhi-Agra,27.18°N,78.01°E,1.8809,-1.8551,9.165,0.2894,-0.3028,0.1517,2.7194,2166.2,True,0.738,0.935,True
DEV-55688,2026-06-10 11:11:13.000,Chennai-Vellore,12.91°N,79.13°E,0.0773,-0.0029,9.8534,-0.0049,0.0041,-0.0375,0.0887,0,False,0.0506,0.0,False
DEV-57371,2026-06-11 17:34:49.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.0718,-0.1643,9.9268,-0.0145,0.0003,0.004,0.214,78.3,False,0.0579,0.0,False
DEV-96848,2026-06-12 07:15:20.000,Vadodara-Surat,22.30°N,73.10°E,-0.0714,-0.0739,9.6938,0.0083,-0.0007,0.0204,0.1551,29.2,False,0.0705,0.0,False
DEV-34749,2026-06-10 06:53:54.000,Vadodara-Surat,22.30°N,73.10°E,-0.2061,-0.2109,9.725,0.0159,0.0197,-0.0106,0.3069,155.8,False,0.0726,0.0,False
DEV-21648,2026-06-10 18:04:29.000,Chennai-Vellore,12.91°N,79.13°E,-0.1266,0.2976,9.7673,-0.0165,-0.0073,0.0144,0.3262,171.8,False,0.0266,0.0,False
DEV-74451,2026-06-11 23:41:46.000,Mumbai-Pune,18.52°N,73.86°E,-0.0123,0.0817,9.8087,-0.031,0.0121,0.0004,0.0826,0,False,0.0201,0.0,False
DEV-73762,2026-06-10 11:05:08.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.1072,0.0494,9.7648,0.0052,0.0042,0.0074,0.1264,5.3,False,0.0309,0.0,False
DEV-63581,2026-06-13 03:03:59.000,Vadodara-Surat,22.30°N,73.10°E,0.0378,-0.0707,9.8574,0.0046,0.0009,-0.0116,0.0931,0,False,0.0464,0.0,False
DEV-40773,2026-06-13 00:28:49.000,Kolkata-Asansol,23.68°N,86.98°E,-0.04,-0.037,9.8454,0.0053,0.0045,0.0014,0.065,0,False,0.0487,0.0,False
DEV-10951,2026-06-12 06:59:31.000,Vadodara-Surat,22.30°N,73.10°E,-0.4525,3.7194,9.0043,-0.6083,0.2327,0.0537,3.8325,3093.8,True,0.7317,0.952,True
DEV-57344,2026-06-11 01:21:27.000,Chennai-Vellore,12.91°N,79.13°E,-0.0826,0.1086,9.6943,0.0305,0.0369,-0.0001,0.1789,49.1,False,0.0599,0.0,False
DEV-28201,2026-06-11 09:33:24.000,Kolkata-Asansol,23.68°N,86.98°E,-0.996,1.0559,10.6139,0.2602,-0.1795,-0.457,1.6593,1282.8,True,0.4693,0.92,True
DEV-10410,2026-06-13 03:15:15.000,Jaipur-Ajmer,26.45°N,74.64°E,0.0015,0.1316,9.7469,-0.0372,-0.0293,-0.0021,0.146,21.7,False,0.0792,0.0,False
DEV-62450,2026-06-13 03:43:35.000,Mumbai-Pune,18.52°N,73.86°E,-0.3517,0.3533,10.0926,-0.332,-0.4492,0.1405,0.573,377.5,True,1.0044,0.974,True
DEV-78164,2026-06-13 02:22:55.000,Chennai-Vellore,12.91°N,79.13°E,0.2029,-0.2037,9.8034,-0.0166,0.0038,0.0078,0.2876,139.7,False,0.0726,0.0,False
DEV-32027,2026-06-12 15:09:06.000,Jaipur-Ajmer,26.45°N,74.64°E,0.1859,0.1542,9.7721,0.0284,-0.0389,-0.0092,0.2445,103.8,False,0.0738,0.0,False
DEV-13830,2026-06-13 03:32:40.000,Vadodara-Surat,22.30°N,73.10°E,-0.1084,-0.0227,9.9021,0.0422,-0.0029,-0.0067,0.144,20.0,False,0.0296,0.0,False
DEV-27793,2026-06-13 01:38:43.000,Mumbai-Pune,18.52°N,73.86°E,0.0108,-0.0842,9.8056,0.0227,0.0082,-0.0046,0.085,0,False,0.0754,0.0,False
DEV-54987,2026-06-12 04:08:00.000,Jaipur-Ajmer,26.45°N,74.64°E,0.0381,-0.1036,9.8272,0.0258,0.0065,-0.0025,0.1117,0,False,0.0426,0.0,False
DEV-25163,2026-06-12 10:14:33.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.1583,0.1165,9.6642,-0.0149,0.0051,-0.01,0.2447,103.9,False,0.0375,0.0,False
DEV-59832,2026-06-10 14:06:38.000,Vadodara-Surat,22.30°N,73.10°E,-0.081,-0.0424,9.9075,-0.0093,0.0121,0.0093,0.1337,11.4,False,0.0546,0.0,False
DEV-26555,2026-06-10 06:07:20.000,Mumbai-Pune,18.52°N,73.86°E,-0.2835,-0.0516,9.8797,-0.0022,-0.02,0.017,0.2965,147.1,False,0.0512,0.0,False
DEV-75514,2026-06-12 01:48:30.000,Kolkata-Asansol,23.68°N,86.98°E,-0.1476,0.0912,9.7666,0.0027,0.0357,-0.01,0.1788,49.0,False,0.0608,0.0,False
DEV-26182,2026-06-10 16:44:06.000,Kolkata-Asansol,23.68°N,86.98°E,-0.0054,-0.2333,9.8199,-0.0047,-0.0101,0.016,0.2336,94.7,False,0.0364,0.0,False
DEV-30014,2026-06-12 19:43:31.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.0711,-0.0614,9.7563,0.0504,0.034,0.0099,0.1082,0,False,0.0697,0.0,False
DEV-49203,2026-06-10 21:20:10.000,Jaipur-Ajmer,26.45°N,74.64°E,0.0382,0.1934,9.9326,-0.0161,0.02,-0.0189,0.2321,93.4,False,0.0791,0.0,False
DEV-79185,2026-06-12 06:00:18.000,Delhi-Agra,27.18°N,78.01°E,-0.13,-0.0323,9.7034,-0.0548,0.001,-0.0149,0.1712,42.7,False,0.0636,0.0,False
DEV-17094,2026-06-11 02:33:40.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.0572,-0.1441,9.8679,0.0101,0.0103,-0.0291,0.1655,37.9,False,0.071,0.0,False
DEV-35644,2026-06-12 09:40:14.000,Mumbai-Pune,18.52°N,73.86°E,0.0421,0.0559,9.7879,-0.0156,0.0086,0.0083,0.0734,0,False,0.0641,0.0,False
DEV-32049,2026-06-10 06:39:54.000,Mumbai-Pune,18.52°N,73.86°E,-0.2009,-0.0827,9.8551,-0.0008,0.0201,-0.0049,0.2219,84.9,False,0.0756,0.0,False
DEV-92178,2026-06-10 12:59:38.000,Mumbai-Pune,18.52°N,73.86°E,0.0211,0.0356,9.925,-0.0036,-0.044,-0.022,0.1222,1.8,False,0.0634,0.0,False
DEV-97914,2026-06-10 23:50:25.000,Vadodara-Surat,22.30°N,73.10°E,-0.1014,0.0616,9.7695,-0.007,-0.001,-0.0259,0.1254,4.5,False,0.0595,0.0,False
DEV-74122,2026-06-12 14:37:57.000,Chennai-Vellore,12.91°N,79.13°E,-0.0706,-0.078,9.7663,-0.0157,0.0061,0.0043,0.1139,0,False,0.0585,0.0,False
DEV-60326,2026-06-13 00:09:12.000,Kolkata-Asansol,23.68°N,86.98°E,-0.379,-0.1841,9.688,0.004,0.0222,0.0113,0.4387,265.6,False,0.0491,0.0,False
DEV-12588,2026-06-12 04:56:17.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.0619,-0.0238,9.9714,0.017,0.0036,-0.0092,0.1745,45.4,False,0.0436,0.0,False
DEV-37192,2026-06-12 17:31:32.000,Kolkata-Asansol,23.68°N,86.98°E,-0.0536,-0.0082,9.8618,-0.0213,0.0122,-0.0198,0.075,0,False,0.0779,0.0,False
DEV-37030,2026-06-12 23:21:41.000,Vadodara-Surat,22.30°N,73.10°E,-0.0767,-0.0441,9.6748,-0.0121,0.0075,0.0055,0.1616,34.7,False,0.0592,0.0,False
DEV-96266,2026-06-10 12:23:41.000,Kolkata-Asansol,23.68°N,86.98°E,0.0012,-0.0504,9.8577,0.0119,0.012,-0.0019,0.0694,0,False,0.02,0.0,False
DEV-78506,2026-06-11 03:53:20.000,Vadodara-Surat,22.30°N,73.10°E,-0.2602,-0.0256,9.7631,-0.0183,-0.0273,-0.0108,0.2656,121.3,False,0.0746,0.0,False
DEV-38208,2026-06-11 07:38:25.000,Kolkata-Asansol,23.68°N,86.98°E,0.0171,0.0531,9.835,-0.0133,0.0064,0.0117,0.0611,0,False,0.0774,0.0,False
DEV-31406,2026-06-12 01:50:48.000,Kolkata-Asansol,23.68°N,86.98°E,-0.0498,0.0487,9.7874,-0.0055,-0.0006,0.0147,0.0732,0,False,0.044,0.0,False
DEV-94616,2026-06-10 12:03:44.000,Mumbai-Pune,18.52°N,73.86°E,0.0776,-0.0245,9.8423,0.027,-0.0034,0.0211,0.0876,0,False,0.0316,0.0,False
DEV-13396,2026-06-11 09:05:54.000,Kolkata-Asansol,23.68°N,86.98°E,0.0876,-0.1478,9.7696,0.0056,0.0213,-0.0008,0.1765,47.1,False,0.0778,0.0,False
DEV-45815,2026-06-11 00:01:20.000,Vadodara-Surat,22.30°N,73.10°E,-0.2232,-0.0358,9.7504,0.0099,0.0371,0.0174,0.2338,94.8,False,0.0288,0.0,False
